frequency_thz,mean_transmission,map_transmission,lower_95,upper_95,observed_normalized
0.151441133365901,0.004217756018406661,0.0038455746335006335,0.0029054431430016814,0.005694861305360227,0.1692165948132216
0.156326331216414,0.0,0.0,0.0,0.0,0.1375028359490145
0.161211529066927,0.0021194055140154855,0.0026154462411663525,0.001024975313001727,0.003997863668691895,0.1002886595322285
0.16609672691744,0.007373940618715455,0.007805581828875892,0.00566893949424088,0.00949617965184981,0.06425672589911813
0.170981924767953,0.014545911541104,0.015289140643403509,0.012505963748958545,0.01618365144418797,0.03446432032504362
0.175867122618466,0.023077304088496522,0.023999726756331215,0.020681943795238064,0.025012922345964257,0.01368328143192723
0.180752320468978,0.03228131459086396,0.0333613392646878,0.029683150344372425,0.03446935467332434,0.002533024440567392
0.185637518319491,0.04142717300573737,0.042595164959009384,0.03868427141723786,0.04378629030111424,0.0
0.190522716170004,0.050307771027250696,0.051443407996374105,0.04754710701183628,0.05275195575951778,0.004030747488260223
0.195407914020517,0.060625483433857236,0.06179703694698028,0.05769480681141228,0.06316611443769347,0.01207576882876562
0.20029311187103,0.0733194580156095,0.0746276692106355,0.07008945245019592,0.07596790036767985,0.02159940623473458
0.205178309721543,0.0879302683485531,0.08938032534285288,0.08447951206654694,0.0907919724359081,0.03060381477371807
0.210063507572056,0.10427475363099976,0.10585964186198293,0.10037070546620912,0.10744955088217455,0.03814233521610522
0.214948705422569,0.12253306988702196,0.12426073026903599,0.11820879292263058,0.12608537955332444,0.04466842599555493
0.219833903273082,0.14303745358293304,0.14493245651147244,0.13830982032569283,0.1470341315837872,0.05200191840556628
0.224719101123595,0.16618323581721667,0.16828753217711323,0.1610612404961623,0.1706330720391876,0.06281980303311481
0.229604298974108,0.19239058794100913,0.19476642279052506,0.18670097260626986,0.1973976149401369,0.0798514773658967
0.234489496824621,0.22206879386952996,0.22480341593813555,0.21574232493469095,0.22762986796336107,0.1051367078759961
0.239374694675134,0.2555616286339819,0.2587729846230052,0.24862453887842914,0.2617538221274874,0.1396132649369478
0.244259892525647,0.2930600215005869,0.29690198862356054,0.2854296350019344,0.30005851059081473,0.1830502172380528
0.24914509037616,0.33447199346740264,0.3391364134366527,0.3260708291622937,0.34207319148070936,0.2341676839576954
0.254030288226673,0.3792490447537727,0.38495993999198147,0.370066471423553,0.3873237099809251,0.2907789318967037
0.258915486077186,0.42618999991023143,0.43318361111564824,0.4165113934225788,0.43484635665982774,0.3498891901012801
0.263800683927699,0.47328160624664906,0.4817662667735274,0.4631672646702509,0.4823561398325991,0.4077931252035975
0.268685881778212,0.5176807080271796,0.5277762253307524,0.5073751107231363,0.5266922766732233,0.4602782918130652
0.273571079628724,0.5559610035624513,0.5676301103897958,0.5461147470632685,0.5645563631591108,0.5030408920420647
0.278456277479237,0.5846840318320851,0.5976841333771475,0.575687768682006,0.5929070050684555,0.532336295321735
0.28334147532975,0.6011865366242639,0.6150747398811225,0.5928850839930446,0.6086435049569197,0.5457336681306164
0.288226673180263,0.6042874565178344,0.6184925154377593,0.5964712859002277,0.611334490541896,0.5427029439531457
0.293111871030776,0.5945787856127086,0.6085167630004455,0.5872346159769035,0.6015098584696021,0.5247571290077835
0.297997068881289,0.5741634261959206,0.5873483226240702,0.5669608906274396,0.5807372693244501,0.4950549466536234
0.302882266731802,0.5460023638763039,0.5581105810141538,0.5390826834502059,0.5522411052376559,0.4576283408383423
0.307767464582315,0.5131942625024003,0.5240726995918178,0.5066821649601841,0.5191415809375948,0.4165482866652243
0.312652662432828,0.47844700062188955,0.4880815265824297,0.47251027588546013,0.48416999841420494,0.3752962727550933
0.317537860283341,0.4438267396136652,0.45229577490500084,0.4384199821709396,0.4492079765984509,0.3364465237465542
0.322423058133854,0.41073277004310893,0.41816417473037315,0.40588364919756303,0.41560467407979185,0.30161751723254
0.327308255984367,0.37999876649322323,0.38653802563317513,0.37563864991676077,0.38438708810469735,0.271588136250952
0.33219345383488,0.3520362205278198,0.35782662081353256,0.3480657670348351,0.35598924402804377,0.2464822491490972
0.337078651685393,0.3269705933446143,0.3321428134159188,0.323252426981253,0.33057406261884964,0.2259635450527445
0.341963849535906,0.3047499840045486,0.30941792309866123,0.3012655205832397,0.30809365192577964,0.2094171963866423
0.346849047386419,0.2852233336564853,0.2894835715973561,0.2819322420215093,0.2883146284637857,0.1961128054112571
0.351734245236932,0.26819273160764867,0.272125836303193,0.2650435300103509,0.2711383279363098,0.1853449643841071
0.356619443087445,0.2534463460036801,0.25711894346415165,0.2504090875412752,0.25619869966256,0.1765421738328239
0.361504640937957,0.2407779503820763,0.244244959413806,0.23788314005859362,0.24334584808597096,0.1693319779871136
0.36638983878847,0.22999768317846167,0.23330442014359334,0.22723194214121856,0.23241032036039502,0.1635555678764889
0.371275036638983,0.22093733887323755,0.22412137167088442,0.2182763959489257,0.22325568372557134,0.1592363961557168
