,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
H_form,0,72.22279197630976,7.243193615505438,0.0,1.0,8.127643335608386,0.0,True,log
B_form,1,52.64386251862773,6.576066969413912,19.578929457682044,0.0,7.34574608651595,6.071462076160035,True,log
