,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
H_form,0,71.95721201452747,7.508773577287741,0.0,1.0,8.13750795172944,0.0,True,log
B_form,1,52.538463613869325,6.681465874172318,19.41874840065815,0.0,7.3514686313683,6.090878911092533,True,log
