B_Field_T,eps_bg,Fixed_thickness_um,Temperature_K
5.0,14.233603874838613,157.79999999999998,1.5
7.7,14.185988576383114,157.79999999999998,1.5
9.0,14.231179236079889,157.79999999999998,1.5
