model,b_field_T,peak_index,exp_peak_freq_THz,pred_peak_freq_THz,freq_difference_THz,relative_error,exp_peak_height,pred_peak_height
H_form,5.0,1,0.278456277479237,0.2774929301553626,-0.0009633473238744306,0.0034595999508262557,0.7177487041140388,0.8713297315040616
H_form,5.0,2,0.517830972154372,0.5219826568141169,0.004151684659744914,0.00801745141367721,0.8959718871585286,0.9802127367696197
H_form,5.0,3,0.776746458231558,0.7715482947529838,-0.005198163478574158,0.006692226818013401,0.9505495388364608,1.0
H_form,7.7,1,0.293111871030776,0.29779657527581277,0.004684704245036753,0.01598264931598376,0.8338778109603713,0.7077630731455125
H_form,7.7,2,0.522716170004885,0.5270585680942295,0.004342398089344446,0.008307372793353349,0.9423684123871005,0.9684936702940629
H_form,7.7,3,0.781631656082071,0.7757782208197442,-0.005853435262326734,0.0074887387387392685,1.0,1.0
H_form,9.0,1,0.175867122618466,0.17682068976646373,0.0009535671479977414,0.005422088755420493,1.0,0.4884926817022708
H_form,9.0,2,0.312652662432828,0.31387029432950253,0.0012176318966745092,0.003894519519519882,0.6414064149098996,0.561632104740875
H_form,9.0,3,0.527601367855398,0.5287505385209336,0.0011491706655355483,0.0021781040299548777,0.8163234147769317,0.957870308407453
H_form,9.0,4,0.781631656082071,0.7757782208197442,-0.005853435262326734,0.0074887387387392685,0.8142228521591274,1.0
B_form,5.0,1,0.278456277479237,0.28849073792893976,0.010034460449702742,0.03603603603603786,0.7177487041140388,0.7693940041809456
B_form,5.0,2,0.517830972154372,0.523674627240821,0.005843655086449018,0.011284869775435042,0.8959718871585286,0.9737725893194634
B_form,5.0,3,0.776746458231558,0.7723942799663358,-0.004352178265222162,0.005603087364094195,0.9505495388364608,1.0
B_form,7.7,1,0.293111871030776,0.3248681021030797,0.03175623107230369,0.10834167500834302,0.8338778109603713,0.46740572095891236
B_form,7.7,2,0.522716170004885,0.5295965237342857,0.006880353729400657,0.013162695405685185,0.9423684123871005,0.95251818174417
B_form,7.7,3,0.781631656082071,0.7757782208197442,-0.005853435262326734,0.0074887387387392685,1.0,1.0
B_form,9.0,1,0.175867122618466,0.20981411308719528,0.03394699046872929,0.19302635969302465,1.0,0.7400684065808546
B_form,9.0,2,0.312652662432828,0.3510936437169945,0.03844098128416645,0.12295107607607635,0.6414064149098996,0.3124412944652866
B_form,9.0,3,0.527601367855398,0.5329804645876941,0.005379096732296085,0.010195380565750081,0.8163234147769317,0.9340023821407099
B_form,9.0,4,0.781631656082071,0.7766242060330963,-0.0050074500489746265,0.006406406406406916,0.8142228521591274,1.0
