b_field_T,H_form_matched_peaks,B_form_matched_peaks,H_form_rms_diff_THz,B_form_rms_diff_THz,H_form_mean_diff_THz,B_form_mean_diff_THz,rms_diff_H_vs_B,better_model
5.0,3,3,0.003880954656196482,0.0071596125811923235,-0.0006699420475678916,0.003841979090309866,0.0032786579249958416,H_form
7.7,3,3,0.0050021855023598665,0.019061830829605303,0.0010578890240181549,0.01092771651312587,0.014059645327245436,H_form
9.0,4,4,0.003081201686449508,0.025904229585253097,-0.0006332663880297337,0.0181899046090543,0.02282302789880359,H_form
