Model,a_scale_mean,g_factor_mean,B4_mean,B6_mean,G0_mean,log_gamma_mu_mean,log_gamma_sigma_mean,observation_noise_sigma_mean
H_form,0.6331436343853075,2.006233384547951,0.00129854907244545,-1.434717544724557e-05,25315989771.36704,23.5972104300981,0.39168468363099496,0.12146281482361633
B_form,0.5830474094428039,2.0127321782717393,-5.545848536220849e-05,-1.0726934988790716e-05,23464192371.034607,25.267225891981923,0.36674085706918885,0.12495807832409629
