,a_scale,g_factor,B4,B6
a_scale,1.0,0.004913762208186004,0.013591831952487487,-0.024244596468377084
g_factor,0.004913762208186004,1.0,-0.02051698373584719,0.06405294050632292
B4,0.013591831952487487,-0.02051698373584719,1.0,-0.8933320035673116
B6,-0.024244596468377084,0.06405294050632292,-0.8933320035673116,1.0
