Model,ELPD_loo,SE,p_loo,LOO_IC
H_form,-400.40175227906474,25.080717524619523,21.80331704544284,800.8035045581295
B_form,-408.15633218743744,29.269284992427448,22.40317177886044,816.3126643748749
