,a_scale,g_factor,B4,B6
a_scale,1.0,-0.11082543617942804,-0.11068492041791823,-0.1130143926983908
g_factor,-0.11082543617942804,1.0,0.33354288335384163,-0.1499435725257937
B4,-0.11068492041791823,0.33354288335384163,1.0,0.1203386232206264
B6,-0.1130143926983908,-0.1499435725257937,0.1203386232206264,1.0
