frequency_thz,H_form_mean,H_form_map,H_form_lower_95,H_form_upper_95,B_form_mean,B_form_map,B_form_lower_95,B_form_upper_95,observed_normalized
0.8304836345872,0.40548909364124525,0.4054319550535991,0.3979575259871572,0.41241462443973814,0.39169722511992533,0.3915080263357069,0.38500061796731905,0.3992962712343789,0.3252903690978607
0.835368832437713,0.37501476471074735,0.374973231325154,0.3686484069618196,0.38091202974044824,0.3628503423002348,0.3626797583368022,0.357278452129725,0.369210405036746,0.2848328126861015
0.840254030288226,0.348896113439568,0.3488682406297408,0.343543808075317,0.35390142895159993,0.3381836001345374,0.33802905526182137,0.3335883863016128,0.3434688208017678,0.2550210961515618
0.845139228138739,0.3265873041561916,0.3265712104471777,0.32211498171568137,0.3308194957957764,0.3171633072411112,0.3170224288039147,0.3134153634141458,0.32151758790941304,0.2339114876515427
0.850024425989252,0.30760433709857316,0.3075982817825052,0.3038964593125373,0.3111530371513694,0.29932270416706086,0.2991933886109371,0.29631183589797466,0.30286886542917035,0.2187086012907217
0.854909623839765,0.2915294862017696,0.29153189629659326,0.2884756759484414,0.2944710453241646,0.2842629309687786,0.2841433531158679,0.2818786233770017,0.2871440212494591,0.2062213683885699
0.859794821690278,0.2780090745314405,0.2780185441573852,0.27553428276590247,0.2804442502425582,0.2716489481304727,0.2715375424561443,0.2698131550636635,0.2739685507588744,0.1933762399489536
0.864680019540791,0.26674822779458746,0.26676350373566665,0.2647944586057546,0.26873027178837355,0.26120340520609503,0.2610988353348251,0.25986230513224956,0.26301509070233425,0.1777791586538865
0.869565217391304,0.25750464885423385,0.25752461011809963,0.2559513647451294,0.25906547761644716,0.25270009223309403,0.2526012172956534,0.25180860682715456,0.25403997343539253,0.1582315062215226
0.874450415241817,0.25008249989151404,0.2501061354608173,0.2488961872302392,0.25130124734909914,0.24595781268888994,0.2458636548025935,0.2453206163631552,0.24690450895523725,0.135022935007661
0.87933561309233,0.24432692812033266,0.24435331496728516,0.24346997033328988,0.24527289306949276,0.24083506829122173,0.2407447829898557,0.2403789402072317,0.24143909222415774,0.1098431365794684
0.884220810942843,0.24011946670328962,0.2401477489340783,0.23951505148943517,0.24082956601514854,0.23722570503616786,0.23713855517902888,0.23679995232478723,0.23770949915284756,0.08530568862958228
0.889106008793356,0.23737438380220444,0.23740375313453674,0.23691200871237278,0.2378719685104699,0.23505554958871527,0.2349708826261331,0.234399082538215,0.23584234756937664,0.06426096804742071
0.893991206643869,0.23603597787448918,0.23606565529979368,0.23551090547834194,0.2365246105435164,0.23428001331764278,0.2341972414935108,0.23335876416489343,0.23542231510475695,0.04914622713055151
0.898876404494381,0.23607678970345616,0.2361060080088875,0.23543626131233278,0.23684609849982544,0.23488262727177892,0.23480121023681774,0.23358168384324085,0.23640405377912724,0.04154030106644976
0.903761602344894,0.23749669973062343,0.23752468647738656,0.23663454390322544,0.23857887967302613,0.2368744774549656,0.23679390675740083,0.2352796161112049,0.2387772272331378,0.0419524865179986
0.908646800195407,0.2403228904372786,0.2403488509699528,0.2391622875229048,0.24172659086637469,0.2402945254219657,0.24021431038972574,0.23838476993472857,0.24258711780774148,0.04979263637037207
0.91353199804592,0.24461067004644269,0.24463377012629733,0.24313541893256538,0.24632996339135194,0.24521081779985573,0.24513047241368638,0.24286527803818372,0.24791062911309555,0.06347696697420899
0.918417195896433,0.2504451700610485,0.25046451777674106,0.24868145153041274,0.25255212084099266,0.25172260442727745,0.2516416349119045,0.24889266764476362,0.25487108516212237,0.08068005430700904
0.923302393746946,0.2579439395184555,0.25795856625039826,0.2558308069379886,0.26051745250995967,0.2599633921579202,0.25988128521351056,0.2566221171405002,0.2636070667545134,0.09877750776703607
0.928187591597459,0.2672604556649307,0.267269296108597,0.26472546554354737,0.2703153175837846,0.2701049506107837,0.27002116251994807,0.26622140746622674,0.27432563859901005,0.1154786499069756
0.933072789447972,0.2785885416884993,0.27859041335453194,0.275606085413173,0.2821510972545957,0.2823622415731992,0.28227618893689865,0.27787032897007397,0.2872322212645816,0.1295242584190897
0.937957987298485,0.2921676063126539,0.29216118964721377,0.2887075920331788,0.2963144472327531,0.29699913856049076,0.2969101922826336,0.2918210966979521,0.30257973191537263,0.1412089727272709
0.942843185148998,0.30828846210992383,0.3082722836251947,0.3042835534871783,0.31311725293488885,0.3143345918153469,0.3142420773953461,0.3083598593873008,0.32071457885097643,0.1525050894341506
0.947728382999511,0.32729918051817747,0.3272716034115635,0.32264566524393734,0.33290314790009123,0.3347485015355438,0.3346517110756336,0.32788080842592476,0.3420415951925353,0.1667381405754388
0.952613580850024,0.34960990636850936,0.3495691365070541,0.34421817817017175,0.3560959022415359,0.3586858674106118,0.35858409245383915,0.35079894267695777,0.3670222974981112,0.1879615087441382
0.957498778700537,0.37569463466849895,0.3756387551317631,0.36946293677262754,0.3831803219398475,0.386656600263208,0.38654920014582195,0.3776088247907198,0.39618104609644195,0.2202409478881315
0.96238397655105,0.4060864302633954,0.40601348548802507,0.3989009203756964,0.4147038566251755,0.419226449469534,0.41911297751904036,0.4088652279747748,0.4300945670551641,0.2669760543590635
0.967269174401563,0.44136016479248175,0.44126832586673637,0.4331078290634781,0.4512367658248189,0.45699150153094137,0.4568719201913694,0.44516319231067253,0.4693697683133894,0.3302732735468886
0.972154372252076,0.482093279014551,0.4819811331322679,0.472713669929124,0.4933420298474365,0.5005244025173767,0.5003994239768449,0.48709343217728424,0.5145468154624391,0.4103640698402573
0.977039570102589,0.5287903303587961,0.5286573434111218,0.5182111327277895,0.5414947967389903,0.5502750924651615,0.5501466715388078,0.5351572399478254,0.5660181166954744,0.5051623250321279
0.981924767953102,0.581752025475913,0.5815992108105112,0.5699626535489621,0.5959157482042498,0.6064040890047973,0.6062760437529661,0.5896193721459827,0.62383011069541,0.6101978542246201
0.986809965803615,0.6408671484899123,0.6406979044498324,0.6279607888459657,0.6563509602434687,0.668527132281702,0.668405731683584,0.6502762300444944,0.6874039007721497,0.7191849913779449
0.991695163654128,0.7053136523000855,0.7051345597277597,0.6915678514544266,0.7217532403128298,0.7353668068599197,0.7352609028864878,0.716132270555618,0.7551683251706895,0.825248524004829
0.99658036150464,0.7731864412076699,0.773007515992145,0.75913792759429,0.7899035947346889,0.8043559217177818,0.8042758618849117,0.7849983554415432,0.8241696667723963,0.9224128332199273
