,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_scale,0.648597,0.021129,0.610118,0.688575,0.000218,0.000155,9442.07443,10238.582699,1.002515
g_factor,2.020124,0.007481,2.005919,2.034073,0.000435,0.00015,297.171801,1038.640495,1.011576
B4,-2e-06,0.000182,-0.000194,0.000372,8.3e-05,4.5e-05,6.97459,27.291266,1.576664
B6,2e-05,3.4e-05,-4.2e-05,4.5e-05,1.7e-05,1e-05,7.149027,32.39803,1.530349
log_gamma_min,23.193559,0.342269,22.582131,23.842105,0.01219,0.031271,790.991965,218.176231,1.029694
log_gamma_other,24.696408,0.144944,24.422774,24.967514,0.016019,0.001542,81.044259,266.599689,1.037558
