Parameter,H_form_mean,H_form_std,B_form_mean,B_form_std,Difference,Relative_diff_%
a_scale,0.6968536708010231,0.022651504683298528,0.6485972438407841,0.02112832950359939,0.04825642696023902,7.440122112527027
g_factor,1.9432399711752077,0.007615519662372366,2.0201240161426175,0.007480990124793505,-0.07688404496740975,-3.805907179610594
B4,0.0006923197582184923,6.225769872485804e-05,-2.49414249597614e-06,0.00018159674298613956,0.0006948139007144685,-27857.826961989078
B6,-2.5921108328376085e-06,8.210391515656676e-06,2.0256512100351467e-05,3.3979715210427294e-05,-2.2848622933189077e-05,-112.79643217942063
