,a_scale,g_factor,B4,B6
a_scale,1.0,-0.45516629441220524,-0.08335171089892544,-0.09154302027655552
g_factor,-0.45516629441220524,1.0,0.39197415783006684,0.10784870737900597
B4,-0.08335171089892544,0.39197415783006684,1.0,-0.5961364502822565
B6,-0.09154302027655552,0.10784870737900597,-0.5961364502822565,1.0
