,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_scale,0.696854,0.022652,0.654392,0.738868,0.000271,0.000169,6958.889605,9426.20123,1.000387
g_factor,1.94324,0.007616,1.928855,1.957503,0.000121,7.1e-05,3990.133143,5329.236277,1.001466
B4,0.000692,6.2e-05,0.000571,0.0008,1e-06,2e-06,2088.046175,1828.720761,1.002575
B6,-3e-06,8e-06,-1.7e-05,1.3e-05,0.0,0.0,2543.946293,2501.223779,1.001682
log_gamma_min,23.23693,0.272841,22.688449,23.719154,0.003173,0.00258,7411.984526,9702.703898,1.000569
log_gamma_other,24.839351,0.113306,24.630752,25.054615,0.001681,0.000899,4541.878859,8123.314023,1.000478
