frequency_thz,H_form_mean,H_form_map,H_form_lower_95,H_form_upper_95,B_form_mean,B_form_map,B_form_lower_95,B_form_upper_95,observed_normalized
0.151441133365901,0.4169635854208912,0.16682974960955502,0.31376702581645943,0.47530373904238216,0.11463022581016424,0.011245081719050979,0.0,0.3305118774458784,0.3522767247678294
0.156326331216414,0.3870234090857012,0.15600411891693944,0.2181153255852228,0.48938107242868095,0.11412916015697828,0.007632315043755449,0.0,0.3290084618746013,0.3545010964667629
0.161211529066927,0.3556347588657735,0.14501574401624565,0.12570973318439843,0.5019686889353769,0.11374458315599578,0.004786653503120061,0.00016456689674081897,0.32676876664674764,0.3346270848994823
0.16609672691744,0.32919748355227757,0.13389632313384509,0.05540761003030287,0.5096223500983161,0.11316037617750045,0.0026465456996183708,0.0009061121831949006,0.3229694510623698,0.2956765179582304
0.170981924767953,0.309810529919768,0.12267759029195116,0.017366798159668084,0.5078050758215915,0.11197650136198799,0.0011611940168675587,0.002197269346808077,0.31651334399115705,0.2441562769861212
0.175867122618466,0.2918567040465813,0.11138486510971969,0.0033850594145002294,0.49003352539493433,0.10969355285028101,0.00028964897120980354,0.004040749129204207,0.30599076054300983,0.187591987457269
0.180752320468978,0.26610135189350675,0.10003662473642862,0.0,0.45107974013175656,0.10571980081770325,0.0,0.006430351142632714,0.28942313587592045,0.1327689033315181
0.185637518319491,0.22877236425942557,0.08865161689988377,0.0008709352214407301,0.3878704195211297,0.09943062983799178,0.00026870083656045575,0.009388479013839393,0.26486616448105404,0.08483833997297474
0.190522716170004,0.18064518166474294,0.07726351504967495,0.005343762022383958,0.303207643627163,0.0903270732495499,0.0010800623234290103,0.01295211815324997,0.23068876982906988,0.04704576994761209
0.195407914020517,0.12794284665392164,0.06594073895287578,0.010934105327908325,0.21011762100297846,0.07834509441743127,0.002425938787420756,0.017161105080802305,0.186856354009627,0.02076879264475661
0.20029311187103,0.07937444025795506,0.05480605467319028,0.015779648202830013,0.12436956715681678,0.06432335044010921,0.004305623378442388,0.02206435772940927,0.13543953892584926,0.005677521502807066
0.205178309721543,0.04216340037802699,0.04404800591656181,0.01868693341884295,0.05959471084080353,0.05046704489113891,0.006725952617234033,0.027793725163163776,0.08212263307215069,0.0
0.210063507572056,0.01907058928780743,0.033916147127404817,0.015610616080574354,0.023954283615262008,0.04022862003480362,0.00970160203348022,0.030837823831571926,0.04700642856385378,0.000988922838857804
0.214948705422569,0.008972850703839384,0.0246963647154209,0.0,0.023631273882919784,0.036722754500253973,0.01325552474972345,0.005970674815121209,0.05677036129737759,0.005661390719795936
0.219833903273082,0.011301984622918034,0.016670872326893016,0.0,0.02991327905470593,0.04072733817810421,0.017419431015019637,0.0,0.0679067139408848,0.01169848234308089
0.224719101123595,0.021683576682578084,0.010075622621083743,0.010802751248740864,0.03805034891004322,0.051509150709398384,0.02223414959509586,0.0055439353573717345,0.08062767504726479,0.01817665681750806
0.229604298974108,0.03808639557855085,0.005070175801855264,0.030902163684618796,0.04735879732608803,0.06868199256616427,0.027749683755672452,0.024316770442516653,0.09530396131313587,0.02579330064749372
0.234489496824621,0.059432391837510284,0.0017292062855746339,0.05311585639984982,0.06557705678848331,0.09204246594166382,0.03402475867228467,0.0553059032377209,0.11236250168264099,0.03651492443707872
0.239374694675134,0.08497884318301314,5.467786776592095e-05,0.06527701679415157,0.10025430932028231,0.12092772620809723,0.041125607950375016,0.09714342313325026,0.13333600557688727,0.05288606960020241
0.244259892525647,0.11412396616090971,0.0,0.07958125815011856,0.1398820679010447,0.15431087301528812,0.04912364337204562,0.11848964333119047,0.18889548261331682,0.07732257944154465
0.24914509037616,0.14632300606632503,0.0014958836250584828,0.09633965076229742,0.18269297034490423,0.19105548556322688,0.0580915147026537,0.13859805433176195,0.25142364682082413,0.1115729695109562
0.254030288226673,0.18099715133085856,0.004470776521961945,0.11625458930124213,0.22718820681357732,0.22999855447893736,0.06809694285772845,0.16156988904002023,0.3127170450742857,0.1563548735817842
0.258915486077186,0.21746937004003694,0.00886307169577603,0.13981388718031376,0.272441996645608,0.26996050126821314,0.07919364692303267,0.18765628835799447,0.3690830085710101,0.2110974983003877
0.263800683927699,0.2549392993872568,0.014625260808345798,0.16764409561932597,0.3161031717114621,0.3097471951406364,0.09140873007391316,0.2170037657275581,0.41770261008187676,0.273755023927791
0.268685881778212,0.2924966731434819,0.021721369078435106,0.2002955445097617,0.3562857594643978,0.34816110265478445,0.1047261230175265,0.24956616422047986,0.45726573269783477,0.3407446181230855
0.273571079628724,0.329160827566505,0.0301189989487562,0.2381709911317128,0.39135358171276086,0.384012292447222,0.11906625197586714,0.28498402535782746,0.48511280861456213,0.4071390843735903
0.278456277479237,0.3639164108060956,0.039776914363262396,0.28128484166650974,0.4200344430317341,0.4161147534049518,0.1342631915758981,0.3224438385001152,0.5021932433469056,0.4672400034151117
0.28334147532975,0.3957070998066161,0.05062886019100927,0.32906144728552406,0.440335269702754,0.44327442326093613,0.1500423211829649,0.3604241568616384,0.5106688664496248,0.5155263973369412
0.288226673180263,0.42337232216771453,0.06256453832608196,0.3791233041817646,0.452401253129837,0.46430831810577045,0.16600382704477232,0.39664128931092396,0.5109165363825201,0.5477527018937939
0.293111871030776,0.4455782505188636,0.07540950025317954,0.42828792577848707,0.4566029027878758,0.4781462647744547,0.18161967953307734,0.4288687721450421,0.5042972011648892,0.5618062052006301
