Model,ELPD_loo,SE,p_loo,LOO_IC
H_form,-392.53044754107293,23.65483866518573,28.225844578536453,785.0608950821459
B_form,-396.49673146502107,26.283263194705036,27.583310925377077,792.9934629300421
