,a_scale,g_factor,B4,B6
a_scale,1.0,0.4106512472682542,-0.4592449505190534,0.6396606925196244
g_factor,0.4106512472682542,1.0,-0.1610985880316723,0.7929506577285281
B4,-0.4592449505190534,-0.1610985880316723,1.0,-0.5831258647327389
B6,0.6396606925196244,0.7929506577285281,-0.5831258647327389,1.0
