,a_scale,g_factor,B4,B6
a_scale,1.0,0.029577725657258445,0.04759849885242717,-0.08439640964740257
g_factor,0.029577725657258445,1.0,0.7788798239065255,-0.6640522728832512
B4,0.04759849885242717,0.7788798239065255,1.0,-0.9195811335954586
B6,-0.08439640964740257,-0.6640522728832512,-0.9195811335954586,1.0
