Parameter,H_form_mean,H_form_std,B_form_mean,B_form_std,Difference,Relative_diff_%
a_scale,0.7129761951910056,0.03095515851286281,0.6699314572154629,0.020902673942967992,0.04304473797554276,6.42524507722866
g_factor,1.945031315384179,0.01465601208232258,2.0225972687948763,0.017290504625946675,-0.07756595341069739,-3.834967771755842
B4,0.0006818623329373591,7.02595773492641e-05,-4.3180427526877646e-05,0.0002709898067266354,0.0007250427604642367,-1679.1004674813237
B6,-1.267428954158233e-07,1.7035427813683458e-05,1.49254134753645e-05,3.5241153975901626e-05,-1.5052156370780324e-05,-100.84917510409358
