,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
H_form,0,-392.53044754107293,28.225844578536453,0.0,0.4850258198693289,23.65483866518573,0.0,True,log
B_form,1,-396.49673146502107,27.583310925377077,3.9662839239480645,0.5149741801306711,26.283263194705036,10.856066577731669,True,log
