eps_bg,d,temperature,b_field
14.866112505749053,0.0001578,4.0,4.2
14.910211673033604,0.0001578,4.0,4.5
14.909198104008576,0.0001578,4.0,4.7
14.910167998677553,0.0001578,4.0,5.0
14.945905939044142,0.0001578,4.0,5.2
14.837638419192874,0.0001578,4.0,5.5
14.860600800308386,0.0001578,4.0,5.7
14.886197366183415,0.0001578,4.0,6.0
14.895763453082967,0.0001578,4.0,6.2
14.916724894497943,0.0001578,4.0,6.5
14.906108526437167,0.0001578,4.0,6.7
14.964897658560739,0.0001578,4.0,7.0
14.92180477409659,0.0001578,4.0,7.2
14.945471387295154,0.0001578,4.0,7.5
14.97087164664073,0.0001578,4.0,7.7
14.989461880624795,0.0001578,4.0,8.0
14.978646069192973,0.0001578,4.0,8.2
14.961135980896461,0.0001578,4.0,8.5
15.004151213065573,0.0001578,4.0,8.7
14.966859603373349,0.0001578,4.0,9.0
14.962546788082497,0.0001578,10.0,9.0
14.905957653219007,0.0001578,20.0,9.0
14.667988072154898,0.0001578,30.0,9.0
14.648010074002032,0.0001578,40.0,9.0
14.538764887579028,0.0001578,50.0,9.0
14.60264890156687,0.0001578,60.0,9.0
14.549468645947782,0.0001578,70.0,9.0
14.512643227052502,0.0001578,80.0,9.0
14.484294349155869,0.0001578,90.0,9.0
14.460346673816264,0.0001578,100.0,9.0
14.554258532044924,0.0001578,110.0,9.0
14.63668585734459,0.0001578,120.0,9.0
14.656737226655435,0.0001578,130.0,9.0
14.697477749251664,0.0001578,140.0,9.0
14.745832939554123,0.0001578,150.0,9.0
14.788188909775862,0.0001578,170.0,9.0
14.8259597740869,0.0001578,190.0,9.0
14.904675949463675,0.0001578,210.0,9.0
15.034031477977164,0.0001578,230.0,9.0
15.107002975963363,0.0001578,250.0,9.0
15.223305916261378,0.0001578,270.0,9.0
15.351047739790298,0.0001578,300.0,9.0
