eps_bg,d,temperature,b_field
15.26863586285575,0.0001578,4.0,4.2
15.325298957627785,0.0001578,4.0,4.5
15.332935023501037,0.0001578,4.0,4.7
15.254894751395051,0.0001578,4.0,5.0
15.380121266907757,0.0001578,4.0,5.2
15.286057310649683,0.0001578,4.0,5.5
15.312647616331859,0.0001578,4.0,5.7
15.349450987164653,0.0001578,4.0,6.0
15.357942917503342,0.0001578,4.0,6.2
15.392964037996423,0.0001578,4.0,6.5
15.386893198007323,0.0001578,4.0,6.7
15.45967681582802,0.0001578,4.0,7.0
15.383390670623745,0.0001578,4.0,7.2
15.418856301414019,0.0001578,4.0,7.5
15.444902878853123,0.0001578,4.0,7.7
15.477260484433803,0.0001578,4.0,8.0
15.455456387868002,0.0001578,4.0,8.2
15.467003081802844,0.0001578,4.0,8.5
15.510172786743626,0.0001578,4.0,8.7
15.545027804759622,0.0001578,4.0,9.0
15.474433011638284,0.0001578,10.0,9.0
15.290893523251995,0.0001578,20.0,9.0
14.974543511571934,0.0001578,30.0,9.0
14.890649284494781,0.0001578,40.0,9.0
14.73735585085934,0.0001578,50.0,9.0
14.773238959039286,0.0001578,60.0,9.0
14.697411214015862,0.0001578,70.0,9.0
14.64208550263334,0.0001578,80.0,9.0
14.598719355044873,0.0001578,90.0,9.0
14.563616830062523,0.0001578,100.0,9.0
14.710348533641906,0.0001578,110.0,9.0
14.709247361905058,0.0001578,120.0,9.0
14.729637615969137,0.0001578,130.0,9.0
14.810402151188054,0.0001578,140.0,9.0
14.81041033462834,0.0001578,150.0,9.0
14.850047300136799,0.0001578,170.0,9.0
14.887402535026721,0.0001578,190.0,9.0
14.95559449826015,0.0001578,210.0,9.0
15.078022366060026,0.0001578,230.0,9.0
15.149931979110976,0.0001578,250.0,9.0
15.261306744247191,0.0001578,270.0,9.0
15.384068743225157,0.0001578,300.0,9.0
