Data_Point,H_form_pareto_k,B_form_pareto_k
0,-0.19600296114196555,-0.26299794842177365
1,-0.20556285928160437,-0.2625837928896579
2,-0.15126200251660937,-0.25948334595323375
3,0.018614919801009915,-0.04264521977932359
4,-0.01999197376071598,0.0549311037155471
5,-0.0025769764232599995,0.14089289590802875
6,0.2157155257704841,0.17995946407899582
7,0.4245591444305352,0.1638498726016184
8,0.49304089594191963,0.09555314787597712
9,0.40319462169882825,0.006278717901135496
10,0.19319951905257657,-0.08084008567703306
11,-0.16859493590999283,-0.20813960788838076
12,-0.20825669342203892,-0.25894240687602105
13,-0.09269332444555262,-0.2267580370033943
14,0.4072562180488055,-0.3507671503378
15,0.09784951290375558,-0.24349272644866307
16,0.11869511452747677,-0.31621296888732725
17,0.07315438630326113,-0.3243900506301715
18,-0.004388324195499309,-0.3236661244394785
19,-0.05545796894803557,-0.2822188402416266
20,-0.062197479534691895,-0.16617649560561248
21,0.2457851101948217,-0.17328735960072972
22,-0.3775429072134711,-0.16650289767644802
23,4.022518588033736,-0.13394170381239914
24,4.534066031133998,-0.13431754926579148
25,4.203420178994446,-0.12654678420734217
26,-0.31956308093228974,-0.13200479840660215
27,0.43400695234897874,-0.15984199055455314
28,0.44462137124593115,-0.15695312034693298
29,0.6473637757259524,-0.12555564196457217
30,0.7492449021072608,-0.08875805253549975
31,0.8118636421041108,-0.1508686648923421
32,0.7661951296948645,-0.15097547069133738
33,-0.21551637244885025,-0.15287191523559956
34,-0.22722987231937886,-0.16956917001942187
35,4.9536228704350815,-0.19469813219019594
36,-0.42500643562388973,-0.2258023017280355
37,-0.2426605980740322,-0.24758420089653063
38,0.007571811010233786,-0.25558612375340845
39,0.027887126192582854,-0.2656641916945303
40,0.04063961856554409,-0.2694554974573429
41,0.04546418068502995,-0.2743397713901819
42,0.034347468263573516,-0.2743249153471444
43,0.016876916661107032,-0.2707605775286008
44,-0.0036342048799635463,-0.26797186532010214
45,-0.013929565321112135,-0.2655647438958552
46,-0.02213610768166916,-0.25866982647644043
47,-0.026968308542721954,-0.2556495272818182
48,-0.029505618401649232,-0.2549505968148802
49,-0.032268971139958816,-0.2537103108165625
50,-0.032673884208259125,-0.2535735678183053
51,-0.03397117855205014,-0.25392081162003904
52,-0.034707585971397975,-0.25519686421535415
53,-0.034468607262580636,-0.2555921612529376
54,-0.034184993362289876,-0.2554253150367822
55,-0.03448419065449207,-0.25592760750061894
56,-0.034450310077085294,-0.25617463408332364
57,-0.035398316032877894,-0.2560093469616113
58,-0.03502895913612246,-0.2556071410975857
59,-0.03592585982457924,-0.25523430584386253
60,-0.0355350554179933,-0.25531828872169365
61,-0.03499149890419563,-0.2557655349879405
62,-0.0346646564077359,-0.25583319266210736
63,-0.03430737247115343,-0.2561710179652342
64,-0.03413947040546029,-0.2568957415986533
65,-0.033289232398549494,-0.25756180713459936
66,-0.033031778186807546,-0.25890051060289615
67,-0.031697978561598276,-0.2611082810531124
68,-0.02885508918274308,-0.26315658520639557
69,-0.026122958523370328,-0.26571049050306766
70,-0.04493521420412098,-0.26798623844528524
71,-0.08160047262683243,-0.26417563532199134
72,-0.10132241957740597,-0.25296741067400874
73,-0.1017099975953691,-0.24341849921377742
74,0.024680189126456992,-0.21646795549774572
75,-0.15278991234751965,-0.2439987522455539
76,-0.1877840995277784,-0.27607652081207723
77,-0.200202123969507,-0.2864935396335148
78,-0.19063449095539955,-0.29194924324492383
79,-0.17225876331592216,-0.28428217857737564
80,-0.10697042266991916,-0.2413896371901852
81,-0.07433099757368658,-0.2266652997068591
82,-0.06346613435088837,-0.2282454211656624
83,-0.05699950253948928,-0.22222406124746522
84,-0.05416904416235048,-0.20418539556388843
85,-0.05961193198649296,-0.23832664508166648
86,-0.003899438033050204,-0.27599658353064316
87,-0.018455878139791188,-0.26845212035783916
88,-0.02842626883448444,-0.26344896649640237
89,-0.03330457416007917,-0.2559018271104536
90,-0.03492164424470157,-0.2529588182185688
91,-0.03721234436249935,-0.24893505310497238
92,-0.03655699785446906,-0.2471151815942034
93,-0.03676772984011472,-0.24741668862019267
94,-0.03504599704200645,-0.24710592949455354
95,-0.03423638985853786,-0.24780869949641796
96,-0.03371687802909634,-0.2485198638535178
97,-0.03292615221796109,-0.24910279096849808
98,-0.03285980250498692,-0.24933522456956828
99,-0.03276846918015779,-0.24939496088757068
100,-0.03281807226595721,-0.24885107204406656
101,-0.03270663674565469,-0.24795021958304136
102,-0.03304324483138594,-0.24654991795728237
103,-0.033105597587521844,-0.24586291880867864
104,-0.03368086050903578,-0.24609743530817763
105,-0.03325800589908629,-0.24597380089126164
106,-0.03420645448975255,-0.2478162076602336
107,-0.03411933121968501,-0.24981932086918046
108,-0.033692091266624195,-0.2521771852068247
109,-0.033429758978356254,-0.25387533580586513
110,-0.033564369377648604,-0.25452738602634273
111,-0.03351025142820162,-0.2550229104057341
112,-0.03363302448884281,-0.25667546289329246
113,-0.035906966182558155,-0.2578096672896765
114,-0.03647387321993676,-0.25891333404471667
115,-0.03671589327139499,-0.25903296916878565
116,-0.03830556598952362,-0.259163224973331
117,-0.0383601430335276,-0.25895862399009467
118,-0.037380547155435914,-0.25847363459740674
119,-0.03814631201907978,-0.25699999826876574
120,-0.03851060331763356,-0.2548230929184278
121,-0.040863628431693694,-0.2528319906640591
122,-0.576870270524441,-0.2118508886660784
123,-0.6062071063956803,-0.18420044274938643
124,-0.612393801733375,-0.17331966376992672
125,-0.5648296800380816,-0.17994268178416037
126,-0.5115069701251631,-0.1468892191825476
127,-0.5898485449191067,-0.17407398258616233
128,-0.7200410309800421,-0.2392536980337153
129,-0.7608446943803038,-0.2751581476252995
130,-0.6795065068038881,-0.4400482596515144
131,-0.5513629203290707,-0.47923304341427403
132,-0.580442567002896,-0.4102557680027895
133,-0.17427008141262934,-0.23729312090810845
134,-0.17884776194365157,-0.05646927328512104
135,-0.17514351709643328,-0.2778227279226115
136,-0.1729851120997369,-0.28611693791214493
137,-0.030662647273441694,-0.23562508285143346
138,-0.03160661098467395,-0.23394481675987858
139,-0.029942770442772854,-0.23146252633099115
140,-0.028337474872430518,-0.2278258543899506
141,-0.02608016520687803,-0.22539166720083487
142,-0.022167001648829582,-0.2210014579866878
143,-0.021539994027953938,-0.21710337236335614
144,-0.021606949477882994,-0.2147636399779428
145,-0.020545550966167572,-0.2148109354666316
146,-0.021213105175576733,-0.21325805312278306
147,-0.01972926346887881,-0.21570020988824645
148,-0.022648192657493856,-0.2175981265960757
149,-0.024673157444886098,-0.22036413321972928
150,-0.024445394193016553,-0.22257259952555067
151,-0.025382996045591386,-0.22382757921047897
152,-0.026488972046743803,-0.22630336761641717
153,-0.02486120370770172,-0.22803941642811446
154,-0.024460815837346522,-0.22780207301503952
155,-0.022508418358674114,-0.23053566667097652
156,-0.02035711448543494,-0.23151938606086944
157,-0.01783897198208845,-0.23112658846217995
158,-0.01630123325288358,-0.23220563780088718
159,-0.014946342656270772,-0.23322760475107773
160,-0.01431947100384914,-0.23611369980241206
161,-0.014680018382684307,-0.24131432813991632
162,-0.014931806940671435,-0.24814894624871853
163,-0.014380342425212427,-0.25323595103040203
164,-0.012640637759978857,-0.2576230811765292
165,-0.011152381949441492,-0.25987944997046897
166,-0.007785407740103801,-0.2619926580317518
167,-0.007179495585367491,-0.2640836998425421
168,0.0008883512360614483,-0.26706704110560103
169,0.002389663013196069,-0.2682241954540368
170,0.008852478221450905,-0.2699270149479221
171,0.008894973184413712,-0.2708279207159678
172,0.009539304589511848,-0.27053678885540805
173,0.010948376591912367,-0.2679966464475411
174,-0.210876536896786,-0.28039738312493845
175,-0.22301895669304184,-0.3074585520648129
176,-0.23992264533748356,-0.3065655732480428
177,-0.05969287927083394,-0.19547080525423988
178,-0.06070340095824379,-0.11623752967147294
179,-0.010587178586330145,-0.02508660135154441
180,-0.1791651354651167,0.04812744324496758
181,-0.23823339289665815,0.07894355081402511
182,0.05885568263703968,0.05707570518725017
183,0.22334243240314855,-0.0021801729455712426
184,0.2733773042170777,-0.07731880375375277
185,0.1237450656869512,-0.09399972119270843
186,-0.18281499792473885,-0.2239360867694242
187,-0.2130615917070669,-0.23027855233348654
188,-0.2051784481255842,-0.2471914424007252
