Model,ELPD_loo,SE,p_loo,LOO_IC
H_form,-1390.9659064902849,98.2018494821979,1033.9380171102262,2781.9318129805697
B_form,-1919.8659491880194,215.49406199906932,1903.547239770767,3839.7318983760388
