,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
H_form,0,-1390.9659064902849,1033.9380171102262,0.0,0.40383165319947595,98.2018494821979,0.0,True,log
B_form,1,-1919.8659491880194,1903.547239770767,528.9000426977345,0.5961683468005241,215.49406199906932,203.84797752728548,False,log
