frequency_thz,mean_transmission,map_transmission,lower_95,upper_95,observed_normalized
0.151441133365901,0.66399921192328,0.6748765021179305,0.6045799211577346,0.7166961866348451,0.6676308042998433
0.156326331216414,0.7374602420635421,0.7488526496879039,0.6726582857750824,0.7964123215241878,0.6648118619787146
0.161211529066927,0.7560664395161091,0.7633495139321241,0.6865042642486631,0.8125772541029361,0.6257236245677328
0.16609672691744,0.6719136426796135,0.6704552987132213,0.5861208945416935,0.73545365959262,0.5553290177960644
0.170981924767953,0.5074697353377431,0.49944752477320653,0.41257618372597626,0.5912604791268791,0.464314675709704
0.175867122618466,0.3232402284780461,0.31471526553969137,0.2168606271333087,0.41922271839386804,0.3650403757762676
0.180752320468978,0.08790612340839966,0.07505609047093666,0.010741777254560448,0.22548954070774804,0.2686499397675681
0.185637518319491,0.001893552915542556,0.0,0.0,0.026468082846085025,0.1836036759709164
0.190522716170004,0.014474271190132395,0.007625339964260824,0.0,0.048000245721824625,0.1152318149207266
0.195407914020517,0.07769174214885415,0.06545604678906415,0.009794855546171856,0.15326557229305546,0.06579686914172729
0.20029311187103,0.1246079342910481,0.12379761585255503,0.034585216565502966,0.2079641686228898,0.03475704652574454
0.205178309721543,0.1284420569839306,0.14265932203592785,0.062499173826805955,0.2283120770882565,0.01920215862842638
0.210063507572056,0.07576952605902113,0.11580128741636167,0.03641535837694172,0.17322100848268726,0.01462014432884357
0.214948705422569,0.057096341314985394,0.05535699944748873,0.036342381909588294,0.08846452110611296,0.0161120126158189
0.219833903273082,0.0396504451948629,0.04021187256233926,0.03243375790407581,0.053571172485821585,0.01986926261082643
0.224719101123595,0.05401540877078405,0.052624965710181146,0.04158002939841044,0.07109788776205446,0.02437510877400693
0.229604298974108,0.06990980219138211,0.06681617270248602,0.05482586939616337,0.09156505710823257,0.03077490999056572
0.234489496824621,0.08962755020885388,0.08501567301141665,0.07221281576968061,0.11538917963252208,0.04229838232028478
0.239374694675134,0.11367659112614183,0.10729178637859131,0.09351040057772113,0.14338071785571488,0.06312457582904922
0.244259892525647,0.1426471579013344,0.13452654796047117,0.1193505138197109,0.17663045764374763,0.09722117210627373
0.24914509037616,0.17778881022496182,0.16803825105319958,0.15121731239990813,0.2173047862884313,0.1474598611090464
0.254030288226673,0.2207560520487544,0.2095635560305725,0.19127843532096228,0.2665091974887267,0.2150192550035357
0.258915486077186,0.27355813759278585,0.26125323228909625,0.24056082604669415,0.3249775817205331,0.298961906283848
0.263800683927699,0.3383826385464431,0.32554672062333534,0.3023374231304576,0.3952162798369154,0.3959278448319417
0.268685881778212,0.4170998025713677,0.4047403469104518,0.3787301400389522,0.47673296406670274,0.5000327743073033
0.273571079628724,0.5101954105945904,0.49994259570037547,0.4699733794072475,0.5683386111775001,0.6031844699977923
0.278456277479237,0.6149123160061528,0.6090891511306967,0.5724748895902365,0.6624960065951322,0.6960240826934806
0.28334147532975,0.7229122985178582,0.7241827898363087,0.6572354137624791,0.7624076722862924,0.7694841855585939
0.288226673180263,0.8191622899497181,0.8294912265288983,0.7237033427099222,0.8558587430267902,0.8165920386558759
0.293111871030776,0.8850687220344594,0.9043182014169551,0.7743522168987031,0.9190088765755272,0.8338778109603713
0.297997068881289,0.9067696549602066,0.9321464192755949,0.7889519953948603,0.9418167347090499,0.8218366626292261
0.302882266731802,0.8830331380513369,0.91027700152261,0.773871112648273,0.9213890766135043,0.7843378789783341
0.307767464582315,0.8251238990119,0.8505040400197184,0.730327196764942,0.863652690084757,0.7273553049110587
0.312652662432828,0.7492700912833807,0.7707221345736587,0.6723589358579499,0.7835033209990897,0.6575844164178969
0.317537860283341,0.6692852750807725,0.6863022841856552,0.6101680645860961,0.6987027306826873,0.5813700424186891
0.322423058133854,0.5937406647655633,0.6067228340151426,0.5497333883618729,0.6180004335162252,0.5040911771406924
0.327308255984367,0.5266069332137728,0.5362895349861657,0.49381059052465176,0.5455635045216314,0.4299340800033533
0.33219345383488,0.46894249362248286,0.47607525831380376,0.44463704527136066,0.48359336872754016,0.3619010202234063
0.337078651685393,0.42032024616387287,0.42553974753904605,0.40262375722884675,0.43164788862249226,0.3019179706693274
0.341963849535906,0.37971293788276067,0.38351644784896116,0.3669363833340732,0.38845177203721765,0.2509630251046744
0.346849047386419,0.34595531979831884,0.3487155091204435,0.33670719081207345,0.3526762987514165,0.2091956773815758
0.351734245236932,0.3179525575812667,0.3199431295755025,0.31123092837766075,0.3235325700281102,0.1761021861553714
0.356619443087445,0.29475622698026527,0.29617650761607855,0.28988511761829994,0.2992284166282381,0.150676047739541
0.361504640937957,0.27557806535724905,0.2765729649440315,0.2719365400362896,0.2791650658162863,0.131631687616955
0.36638983878847,0.25977784726647285,0.2604529406797725,0.257002006558243,0.26278626516653547,0.1176227998153547
0.371275036638983,0.24684283825944842,0.2472753707249818,0.24479015736899204,0.24975631820047448,0.1074245261016191
0.376160234489496,0.23636657051106463,0.23661336056324617,0.234891741544032,0.23910303010491418,0.1000482981006501
0.381045432340009,0.22802998112412406,0.22813306075159476,0.22689258438444562,0.23077077255593076,0.0947809197748363
0.385930630190522,0.22158580059901317,0.22157643987215675,0.22066204588053515,0.22421783660270583,0.0911605586745039
0.390815828041035,0.21684616780959806,0.2167477574452066,0.21606264691669688,0.21929697558141945,0.08891298203365279
0.395701025891548,0.2136731189265591,0.21350324859365333,0.21295843709733853,0.21609475958803168,0.08787228097003955
0.400586223742061,0.21197152887474016,0.21174349980772356,0.21124903493855005,0.2143245202217969,0.08790693495391239
0.405471421592574,0.21168412231037304,0.2114080625951832,0.21067398748490068,0.21398506758983513,0.08886864671006875
0.410356619443087,0.21278824674622568,0.21247194899173152,0.2114816690743107,0.21506597826324186,0.09057806350742467
0.4152418172936,0.21529418279819992,0.21494375077009775,0.2137467231576308,0.21750323803771443,0.0928552236065314
0.420127015144113,0.2192448431317113,0.21886521191583858,0.21734177864291293,0.22163788458812733,0.09559091839683372
0.425012212994626,0.22471677757508077,0.2243121579479137,0.22249944253550208,0.22726463276828784,0.09884066472328508
0.429897410845139,0.23182245391922,0.23139674391818993,0.22923258414941217,0.23464061324870486,0.1029133057701886
0.434782608695652,0.24071381724964325,0.2402710213713396,0.23778564685252107,0.2437491325808275,0.1084281382805766
0.439667806546165,0.2515871351832748,0.25113183375790826,0.24825215573553083,0.25519375198541855,0.1163265265558701
0.444553004396678,0.26468909225840026,0.26422701041786123,0.26094017034557676,0.2689474416823964,0.1278370005744642
0.44943820224719,0.2803239671189906,0.27986270478178926,0.276052436010762,0.2853543954503368,0.1443980659717508
0.454323400097703,0.29886144560851835,0.29841144742694814,0.29392183350444107,0.30476528891300386,0.1675394397523396
0.459208597948216,0.32074407927159915,0.3203199461363459,0.3148421770781685,0.3276475962732139,0.1987170359554951
0.464093795798729,0.3464924070979949,0.3461146756997776,0.33929864488669115,0.35455619099916286,0.2390991023151704
0.468978993649242,0.3767040297907005,0.37640156484252124,0.3677735764853976,0.3861007333435512,0.2893165201082916
0.473864191499755,0.41204004884094414,0.41185318119647824,0.4010040230946536,0.42296327412656365,0.349217620117626
0.478749389350268,0.45318777306990093,0.4531722262195242,0.4399794593151523,0.465837899950294,0.4176943343770836
0.483634587200781,0.5007821631357152,0.5010135419720004,0.48505277692745885,0.5153347772868959,0.4926513518110944
0.488519785051294,0.5552608386029848,0.5558388385014162,0.5360065730984435,0.5718175239369367,0.571157050493675
0.493404982901807,0.616622195218995,0.6176724972422386,0.5929875989158425,0.6351314117674929,0.6497505928301803
0.49829018075232,0.6840630734900971,0.6857329829926851,0.6557153504332288,0.7041847821345557,0.7248170749816304
0.503175378602833,0.7555109088671678,0.7579526093635439,0.7225841984002627,0.7764770619190825,0.7929214562456358
0.508060576453346,0.8271605025730371,0.830495320717431,0.7907723370307611,0.8477116866500906,0.8510258018510296
0.512945774303859,0.8932799805810534,0.8975425441188272,0.8557941936473918,0.9116666231416303,0.8965803395587439
0.517830972154372,0.9466800013486045,0.9517567222923548,0.9111489151530525,0.961099825992849,0.9275381007779083
0.522716170004885,0.9801320781170934,0.9857291218336718,0.949038464945738,0.989498294567307,0.9423684123871005
0.527601367855398,0.9884887200668522,0.9941685911566821,0.9637204699234756,0.9959505114428394,0.9401310706053677
0.532486565705911,0.9705361314110278,0.9758268799653794,0.9522370107229586,0.9806104547252411,0.9206302349341976
0.537371763556424,0.9294494708118319,0.9339747987385758,0.914943631699479,0.941290324580529,0.8846106281790208
0.542256961406937,0.8715512000922722,0.8751110186245217,0.8585313973190293,0.8840842255019737,0.8339089712619825
0.547142159257449,0.8041925940742859,0.8067643863643923,0.7893439085356646,0.8178104150760993,0.7714556312381816
0.552027357107962,0.7339169995702407,0.7356022882536598,0.7186139471022691,0.7492241159411508,0.7010546471418785
0.556912554958475,0.6655228537437315,0.6664815780642642,0.6507549082695592,0.68214622441039,0.6269499863849511
0.561797752808988,0.6019589416554446,0.6023595891471997,0.5882884394939422,0.6195054457510359,0.5532748879559259
0.566682950659501,0.5446761439302689,0.5446683143012986,0.5323605615107668,0.5621139799502143,0.4835294255545395
0.571568148510014,0.4940997294078217,0.4938040963975252,0.483198454201358,0.510450799555583,0.4202132842677433
0.576453346360527,0.45004176628472126,0.4495499989718608,0.4405002898878371,0.46522079264548716,0.3646739900225752
0.58133854421104,0.41199816941683326,0.4113771621157489,0.40371889982189774,0.425995005028171,0.3171586707512951
0.586223742061553,0.3793381293638601,0.3786353040070859,0.37219835465155476,0.39214965211463365,0.277013778444313
0.591108939912066,0.35141369049027366,0.3506618868927488,0.34527852881762056,0.363088142385643,0.24296823162247
0.595994137762579,0.327616928191372,0.32683838404740356,0.3223604287525689,0.33817991167638595,0.2134464587233075
0.600879335613092,0.3074054939741731,0.3066148790861339,0.30284856663721726,0.31691121798529803,0.1868709594805792
0.605764533463605,0.2903103756190256,0.28951701933352586,0.28644146737945986,0.29895603161050044,0.1619207166067253
0.610649731314118,0.2759344223487454,0.2751439115859077,0.27267545067679194,0.28389663433214496,0.1377148948243451
0.615534929164631,0.2639466269039808,0.2631619361282772,0.26121428797231694,0.27134062665085823,0.1138988538020907
0.620420127015144,0.25407493755749233,0.2532972200915533,0.2517298068880095,0.2609542011313361,0.0906262563240364
0.625305324865657,0.24609905717316743,0.2453281953599558,0.24411882235722107,0.2524309671518958,0.06845318458956542
0.630190522716169,0.2398439373321582,0.23907892254156124,0.23820307099708232,0.2455539928271999,0.04817792698974501
0.635075720566682,0.2351742667622511,0.23441345995662738,0.233768253410267,0.24045082235510454,0.03066547561746329
0.639960918417195,0.23199004243050284,0.23123135117158727,0.2307596935562303,0.23686236289322823,0.01668847132895464
0.644846116267708,0.23022321292503675,0.22946421015893126,0.22914930111707502,0.23483375990335512,0.006803009654422384
0.649731314118221,0.22983534695821212,0.22907334957889738,0.2287088037220731,0.23409991192152957,0.00126649217309437
0.654616511968734,0.23081627617602482,0.23004839638894437,0.22957493259952028,0.23479515603300113,0.0
0.659501709819247,0.2331836746014355,0.23240685387055238,0.23177510634378165,0.2369308394795935,0.002598532648851313
0.66438690766976,0.23698355748868788,0.23619459094143666,0.23538146160954362,0.24046510109264158,0.008394040675262655
0.669272105520273,0.24229170397427544,0.24148726231832787,0.24049041997461276,0.24565534107865217,0.01657285259720509
0.674157303370786,0.24921602537407697,0.2483926815525534,0.2472013279721651,0.25234460566526534,0.02633813404338328
0.679042501221299,0.2578999076473717,0.2570541766619346,0.25564553531092726,0.2609081918256073,0.03709237288765058
0.683927699071812,0.26852654190377007,0.26765494463397443,0.26600570221523684,0.27155602499050246,0.04860265353736602
0.688812896922325,0.2813242028888149,0.2804233686267673,0.2784603761501877,0.2846005716955806,0.06111088188501852
0.693698094772838,0.2965723111858126,0.29563913940065956,0.29335605636474693,0.3001567596777257,0.07536396729798477
0.698583292623351,0.3146078678519639,0.31363977786689334,0.3108484713837214,0.3185319594976419,0.09255860257065217
0.703468490473864,0.3358313932264101,0.3348267013596033,0.33160609991661644,0.3405045932029371,0.1142115868752606
0.708353688324377,0.36071069507787823,0.3596691720545447,0.35567244423698724,0.3662433328470121,0.1419737799457491
0.71323888617489,0.38977942276464966,0.3887030977448401,0.38392809082296864,0.39629530892506304,0.1774058529465209
0.718124084025403,0.42362513869299184,0.42251942376795293,0.4165972288385925,0.4312569285820322,0.2217341689363024
0.723009281875915,0.46285821711624986,0.4617334124729576,0.4547171862669526,0.4717370425715917,0.2756113084786033
0.727894479726428,0.5080480628213495,0.5069212363212701,0.498592213551362,0.5182862402825306,0.3389173373682116
0.732779677576941,0.5596073937235503,0.5585044515593944,0.548522539785006,0.5712489941669265,0.4106464255014537
0.737664875427454,0.6176009841918977,0.6165583748000749,0.6042829772672449,0.6305888636576659,0.4889168673596758
0.742550073277967,0.6814586715090201,0.6805235112600343,0.6659996084841278,0.6955566581733043,0.5711145789757018
0.74743527112848,0.7495963872687443,0.7488229232988853,0.7324315897886744,0.7642924680891445,0.6541384832704196
0.752320468978993,0.8190115151431427,0.8184512612325233,0.8010786661290139,0.8334370623893562,0.7346816230626024
0.757205666829506,0.8850284617975446,0.8847123895739937,0.8678779615215758,0.8979435760534789,0.8094750471316245
0.762090864680019,0.9414871569370753,0.9414027927724263,0.9273466481499485,0.9514048219006372,0.8754476866400523
0.766976062530532,0.9816615193757635,0.9817354959769138,0.9729641127381957,0.9871508132657102,0.9298006110419649
0.771861260381045,0.9998984242833677,1.0,0.998444319977564,1.0,0.9700357480735045
0.776746458231558,0.9934107585636754,0.9933842296576678,0.9879730879645824,1.0,0.9940000777436556
0.781631656082071,0.9632809157385034,0.9629945206943051,0.953017388314096,0.9775473252435095,1.0
0.786516853932584,0.9140535427619376,0.9134376836203316,0.900284301121874,0.9345753083180923,0.9870090475990461
0.791402051783097,0.8521794350070241,0.8512350980224243,0.8364191154643107,0.8769354306572269,0.9549430326517739
0.79628724963361,0.7842104203504723,0.782990883486388,0.7678138631842238,0.811149497096737,0.9049245525361027
0.801172447484123,0.7155341670935746,0.7141168783383072,0.6995116071409517,0.7429401963791196,0.8394261549626182
