eps_bg,d,temperature,b_field
14.681762843864927,0.0001578,4.0,4.2
14.719845840864851,0.0001578,4.0,4.5
14.714560183088754,0.0001578,4.0,4.7
14.634970915464988,0.0001578,4.0,5.0
14.745306425220182,0.0001578,4.0,5.2
14.635438808346473,0.0001578,4.0,5.5
14.654905176305997,0.0001578,4.0,5.7
14.675906744619345,0.0001578,4.0,6.0
14.684293953275231,0.0001578,4.0,6.2
14.69968821755453,0.0001578,4.0,6.5
14.681344087904773,0.0001578,4.0,6.7
14.740024925009294,0.0001578,4.0,7.0
14.688532443701366,0.0001578,4.0,7.2
14.707983951763941,0.0001578,4.0,7.5
14.727713353723834,0.0001578,4.0,7.7
14.740694011674728,0.0001578,4.0,8.0
14.723042035270923,0.0001578,4.0,8.2
14.706926254792593,0.0001578,4.0,8.5
14.74728498581917,0.0001578,4.0,8.7
14.765224500759208,0.0001578,4.0,9.0
14.777015366922162,0.0001578,10.0,9.0
14.749006136587582,0.0001578,20.0,9.0
14.555151118756232,0.0001578,30.0,9.0
14.560111906659117,0.0001578,40.0,9.0
14.468694387570597,0.0001578,50.0,9.0
14.542670238619806,0.0001578,60.0,9.0
14.497958345141464,0.0001578,70.0,9.0
14.467764663403594,0.0001578,80.0,9.0
14.444533475550505,0.0001578,90.0,9.0
14.424345438223828,0.0001578,100.0,9.0
14.521434571566084,0.0001578,110.0,9.0
14.545935802347087,0.0001578,120.0,9.0
14.631615235895564,0.0001578,130.0,9.0
14.672924637655282,0.0001578,140.0,9.0
14.671022430129518,0.0001578,150.0,9.0
14.767468019842342,0.0001578,170.0,9.0
14.805933989570047,0.0001578,190.0,9.0
14.88762919932686,0.0001578,210.0,9.0
15.019008419348518,0.0001578,230.0,9.0
15.092726952889976,0.0001578,250.0,9.0
15.210406573759949,0.0001578,270.0,9.0
15.339650567243101,0.0001578,300.0,9.0
