Model,a_scale_mean,g_factor_mean,B4_mean,B6_mean,G0_mean,log_gamma_mu_base_mean,temp_gamma_slope_mean,temp_gamma_nonlinear_mean
B_form,0.5606580387797945,2.0015207620704643,0.0001080817830302221,-1.682522982031056e-06,22312488682.33706,24.22461658074835,0.0011185359005794556,2.4892684128180905e-06
H_form,0.6421553793127986,1.9979393636545373,0.0005571937890010455,5.0259199206557785e-05,25464461275.479195,24.814280654608382,0.0009430906058703872,-4.134745834225772e-06
