,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
H_form,0,72.10685242473082,7.386157891724929,0.0,0.9999999999997407,8.186747158082303,0.0,True,log
B_form,1,52.68437539964182,7.032165537301721,19.422477025088995,2.5934809855243657e-13,7.35754289579525,6.021697506624432,True,log
