,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
H_form,0,71.78764986588237,7.70536045057338,0.0,0.9999999999993392,8.196088627747839,0.0,True,log
B_form,1,52.557482035920316,7.159058901023229,19.23016782996205,6.608047442568932e-13,7.360394575661134,6.035952927627415,True,log
