eps_bg,d,temperature,b_field
14.686137929274896,0.0001578,4.0,4.2
14.722419614744668,0.0001578,4.0,4.5
14.716177948492005,0.0001578,4.0,4.7
14.712389905622507,0.0001578,4.0,5.0
14.743361009548146,0.0001578,4.0,5.2
14.633453444056634,0.0001578,4.0,5.5
14.651500142953438,0.0001578,4.0,5.7
14.671308941760314,0.0001578,4.0,6.0
14.678211423902669,0.0001578,4.0,6.2
14.692971687965075,0.0001578,4.0,6.5
14.673537445331316,0.0001578,4.0,6.7
14.73199465320297,0.0001578,4.0,7.0
14.679821454174014,0.0001578,4.0,7.2
14.698649312774789,0.0001578,4.0,7.5
14.718618637024269,0.0001578,4.0,7.7
14.731158038916455,0.0001578,4.0,8.0
14.714508700347574,0.0001578,4.0,8.2
14.696406255761698,0.0001578,4.0,8.5
14.737137230333527,0.0001578,4.0,8.7
14.755751150079233,0.0001578,4.0,9.0
14.796542589937332,0.0001578,10.0,9.0
14.799915642539471,0.0001578,20.0,9.0
14.617739124891479,0.0001578,30.0,9.0
14.614233881412973,0.0001578,40.0,9.0
14.514901230944194,0.0001578,50.0,9.0
14.584228546714328,0.0001578,60.0,9.0
14.535221014336265,0.0001578,70.0,9.0
14.500840428071994,0.0001578,80.0,9.0
14.47399432224053,0.0001578,90.0,9.0
14.452088685845146,0.0001578,100.0,9.0
14.626105174482808,0.0001578,110.0,9.0
14.56992042472946,0.0001578,120.0,9.0
14.650231729422861,0.0001578,130.0,9.0
14.693431074418417,0.0001578,140.0,9.0
14.739906226390293,0.0001578,150.0,9.0
14.784838110749007,0.0001578,170.0,9.0
14.825329778749557,0.0001578,190.0,9.0
14.901934974288071,0.0001578,210.0,9.0
15.030683806978317,0.0001578,230.0,9.0
15.105611138331701,0.0001578,250.0,9.0
15.221012920541007,0.0001578,270.0,9.0
15.348375241107878,0.0001578,300.0,9.0
